"abs_text"
"No abstract is available for this item."
"No abstract is available for this item."
"No abstract is available for this item."
"We model the portfolio decisions by managers with career concerns in a context where ownership of the firm's stock can affect the outcome of promotion contests. In addition to their utility from wealth, such managers derive utility from the monetary and non-monetary benefits (prestige) of running a corporation. Our theory predicts that top managers competing for the CEO position will distort their investment decisions away from the optimum portfolio choice in the absence of career concerns. Thus, our model suggests that changing career opportunities can explain portfolio decisions by managers and that insider ownership can help explain the outcomes of promotion contests. Our main testable predictions are that higher ownership by insiders increases their chances of being appointed CEO; that lower ownership by inside managers makes outside CEO appointments more likely; and that a lower probability of CEO turnover (and thus reduced promotion opportunities) leads inside managers to reduce their ownership in the firm and/or to leave the company. Using data on managerial ownership surrounding CEO turnover events, we find evidence supporting the predictions of our model. Overall, our main insight is that insider ownership, the outcome of promotion contests, the choice between inside and outside CEO replacements, and executive departure decisions are all related. Nous developpons un modele de choix de portefeuille des gestionnaires dans un environnement ou leurs chances d'etre promu PDG sont liees a leur actionnariat dans l'entreprise. Puisque les gestionnaires valorisent leur nomination potentielle au rang de PDG, nous predisons que leur choix de portefeuille sera biaise par rapport au choix qu'ils auraient fait en l'absence d'anticipations carrieristes. Notre modele predit que des changements dans les chances d'etre promu expliquent les choix de portefeuille des gestionnaires. En particulier, nous montrons empiriquement qu'un plus grand actionnariat augmente la chance d'e(This abstract was borrowed from another version of this item.)"
"No abstract is available for this item."
"No abstract is available for this item."
"No abstract is available for this item."
"No abstract is available for this item."
"No abstract is available for this item."
"No abstract is available for this item."
"No abstract is available for this item."
"No abstract is available for this item."
"No abstract is available for this item."
"No abstract is available for this item."
"No abstract is available for this item."
"No abstract is available for this item."
"No abstract is available for this item."
"No abstract is available for this item."
"No abstract is available for this item."
"No abstract is available for this item."
"No abstract is available for this item."
"No abstract is available for this item."
"No abstract is available for this item."
" Corporate governance exists for one reason and one reason alone: to ensure that shareholders' values, as informed by knowledgeable agency, are transformed into company performance. To the extent a board fails in this, no matter how many other useful things it accomplishes, it has failed. To the extent it succeeds in this, no matter that it accomplishes nothing else, it has succeeded. The worldwide surge of corporate governance codes, while acting to protect investors, does little to enhance the integrity and effectiveness of the governance process itself. Significant improvement in boards' ability to fulfil their roles as shareholders' agents requires going beyond the codes and today's best practices to develop conceptually coherent governance theory. Copyright (c) 2007 The Author; Journal compilation (c) 2007 Blackwell Publishing Ltd."
" The purpose of the article is to outline some key characteristics of the Swedish corporate governance system and to highlight some of its important historical roots. The ambition is also to relate and compare Sweden in that respect to some other countries. Hopefully, this article will also help the international corporate governance community to better understand some of the Swedish particulars. Copyright (c) 2007 The Author; Journal compilation (c) 2007 Blackwell Publishing Ltd."
" This paper reports research conducted on detailed behavioural information from the UK Non-Executive Director (NED) Awards 2006. The key findings were that outstanding Chairmen have a high level of integrity, showing high ethical standards in their own behaviour, as well as providing a lead on corporate governance matters. They promote investors' confidence and ensure high returns to investors. They spend significant time mentoring, developing and advising their colleagues, are team builders, are empathetic and very effective. They encourage contributions from fellow directors and achieve consensus yet they challenge and probe colleagues, especially the executive directors. They have an acute critical faculty and a critical thinking ability. Copyright (c) 2007 The Authors; Journal compilation (c) 2007 Blackwell Publishing Ltd."
" The voice-exit paradigm continues to serve as the framework for debating key issues in UK corporate governance. That paradigm, however, has become an anachronism with the recent changes in the scale and organisational structure of the UK asset management industry. As a result of these changes the \"holding\" and the \"selling\" of shares tend to be mutually inclusive rather than exclusive acts, and the capital market's corporate governance role is now exercised more through the gravitational pull of equity trading than through the medium of hostile takeovers. If the new realities are to be correctly appraised and factored into the corporate governance codes of conduct, the voice-exit paradigm has to be abandoned in favour of an alternative framework that is attuned to these realities. The aim of this paper is to help develop such a framework. Copyright (c) 2007 The Authors; Journal compilation (c) 2007 Blackwell Publishing Ltd."
" This paper provides a framework for evaluating the strengths and weaknesses of Australian public assets when owned by: (i) a government department, (ii) a State owned corporate body, (iii) private investor's, or (iv) a network of constituents. The framework evaluates the generic characteristics of the four different types of governance architectures by considering their: (i) accountability, (ii) quality of service, (iii) operating costs, (iv) funding (v) cost of finance, and (vi) political outcomes. Network governance introduces distributed: communications, intelligence, decision making, and control which can be used to augment and/or replace the centralised architecture of the other three alternatives. Network governance is identified as a condition precedent for developing self-governance and enriching democracy. Copyright (c) 2007 The Author; Journal compilation (c) 2007 Blackwell Publishing Ltd."
" We analyse the performance of socially responsible investments in the Netherlands. It appears that the financial performance of the various types of socially responsible investments differs considerably. We construct a proxy for mutual funds' CSR policies and use information about the environmental and social impact of activities financed by \"green\" financial institutions. We find preliminary evidence that financial and CSR performance substantially differs per category of financial instrument analysed. In the Netherlands, tax policy significantly affects financial results and the government can affect the CSR impact of some financial instruments too. More coherent and consistent information about CSR is required to establish whether financial and social performance interact. Copyright (c) 2007 The Author; Journal compilation (c) 2007 Blackwell Publishing Ltd."
" This article examines the overall acceptance of the best practice provisions contained in the Dutch corporate governance code and identifies those that receive comparably less agreement among 150 Dutch listed companies in 2004. The findings indicate a high level of compliance with the Code. Moreover, the extent of compliance is positively associated with company size. Provisions related to the remuneration of board members, independence of supervisory board members, and requirements with respect to internal control systems stand out when it comes to non-compliance. In addition, the nature and content of the explanations provided for non-compliance are remarkably similar across companies, which may indicate symbolic compliance with the Code's best practice provisions. Copyright (c) 2007 The Authors; Journal compilation (c) 2007 Blackwell Publishing Ltd."
" During the last decade, globalisation and liberalisation of financial markets, changing societal expectations and corporate governance scandals have increased the attention for the fiduciary duties of non-executive directors. In this context, recent corporate governance reform initiatives have emphasised the control task and independence of non-executive directors. However, little attention has been paid to their impact on the external and internal service tasks of non-executive directors. Therefore, this paper investigates how the service tasks of non-executive directors have evolved in the Netherlands. Data on corporate governance at the top-100 listed companies in the Netherlands between 1997 and 2005 show that the emphasis on non-executive directors' external service task has shifted to their internal service task, i.e. from non-executive directors acting as boundary spanners to non-executive directors providing advice and counselling to executive directors. This shift in board responsibilities affects non-executive directors' ability to generate network benefits through board relationships and has implications for non-executive directors' functional requirements. Copyright (c) 2007 The Authors; Journal compilation (c) 2007 Blackwell Publishing Ltd."
" We analyse the relation between capital structure, ownership structure, and corporate value for a sample of 1,216 firms from 15 European countries. Our results stress two different conflicts of interest and show the differential role played by the mechanisms of corporate control depending on the legal and institutional environment. In common law countries, as a consequence of the relationships between managers and shareholders, capital structure and managerial ownership are the most effective mechanisms of control. In civil law countries, however, as a consequence of the conflicts between majority and minority shareholders, the ownership concentration and the sharing of control within the firm become crucial. In this scenario, the second reference shareholder plays a critical role in contesting the control of the dominant largest shareholder in order to reduce the extraction of private benefits and improve the firm's performance. Copyright (c) 2007 The Authors; Journal compilation (c) 2007 Blackwell Publishing Ltd."
" Using analysts' forecast error and forecast dispersion of firms covered by the I/B/E/S database, this study examines the change in information asymmetry of Korean firms around the financial crisis of 1997. Results show that the information asymmetry of Korean firms is lower after the financial crisis than before, implying that corporate transparency did, in effect, improve with the change in business environment. In addition, this study finds that chaebol firms have higher information asymmetry than non-chaebol firm, and also that the corporate transparency improvement of chaebol firms is not higher than that of non-chaebol firms in the post-crisis period despite the reforms particularly targeted to chaebol firms after the financial crisis. Copyright (c) 2007 The Authors; Journal compilation (c) 2007 Blackwell Publishing Ltd."
