"word","n"
"coupon",3
"cover",3
"cppi",3
"crra",3
"decisions",3
"decomposition",3
"derivative",3
"design",3
"dimension",3
"discounts",3
"distortion",3
"dividend",3
"dividends",3
"dominated",3
"downside",3
"downward",3
"drift",3
"duration",3
"dynamically",3
"economically",3
"economy",3
"eligible",3
"enable",3
"enlargement",3
"environment",3
"equivalence",3
"established",3
"estimated",3
"exist",3
"exposure",3
"expressed",3
"extension",3
"fails",3
"feature",3
"features",3
"fee",3
"fit",3
"formulated",3
"formulation",3
"future",3
"gain",3
"gap",3
"generic",3
"geometric",3
"global",3
"goal",3
"hamilton",3
"hand",3
"heath",3
"held",3
"hold",3
"holds",3
"homogeneous",3
"hybrid",3
"implement",3
"implementations",3
"implications",3
"improved",3
"individual",3
"inference",3
"infinite",3
"ingersoll",3
"integral",3
"intensities",3
"interpreted",3
"invest",3
"investigate",3
"jarrow",3
"jls",3
"laplace",3
"leverage",3
"likelihood",3
"low",3
"lunch",3
"main",3
"managers",3
"marginal",3
"methodology",3
"money",3
"monotonicity",3
"morton",3
"mortona",3
"multidimensional",3
"multiplicative",3
"natural",3
"naturally",3
"noa",3
"nonparametric",3
"nonsmooth",3
"nontraded",3
"nupbr",3
"occur",3
"oce",3
"onea",3
"optimality",3
"ornstein",3
"overcome",3
"pair",3
"paths",3
"percentage",3
"period",3
"perspective",3
"pessimistic",3
"pliska",3
"poisson",3
"policies",3
"popular",3
"positive",3
"possibility",3
"possibly",3
"premium",3
"premiums",3
"prespecified",3
"previous",3
"primal",3
"profitable",3
"program",3
"range",3
"realistic",3
"rebalancing",3
"recently",3
"recover",3
"refers",3
"relevant",3
"representations",3
"represented",3
"require",3
"requires",3
"review",3
"riccati",3
"rigorous",3
"run",3
"safe",3
"sample",3
"satisfies",3
"satisfy",3
"scholes",3
"security",3
"sequence",3
"shares",3
"shortfall",3
"simultaneously",3
"singular",3
"situation",3
"size",3
"spot",3
"spread",3
"static",3
"statically",3
"suggest",3
"supera",3
"tail",3
"takes",3
"task",3
"temporary",3
"tend",3
"terminal",3
"total",3
"tractability",3
"trip",3
"uhlenbeck",3
"uniformly",3
"upper",3
"upward",3
"valuing",3
"variation",3
"variety",3
"wait",3
"weighting",3
"wella",3
"yield",3
"yields",3
"yn",3
"access",2
"accounts",2
"achieved",2
"actual",2
"actuarial",2
"adaptation",2
"adapts",2
"addresses",2
"adjusting",2
"admits",2
"affected",2
"agent's",2
"aggregating",2
"aggregation",2
"allocating",2
"answers",2
"application",2
"applies",2
"approximations",2
"arrow",2
"artzner",2
"asian",2
"asymmetric",2
"asymmetrically",2
"atoms",2
"attention",2
"australian",2
"axiomatic",2
"background",2
"bankruptcy",2
"baseline",2
"basis",2
"basket",2
"beliefs",2
"bermudan",2
"bernard",2
"black",2
"bouchard",2
"broad",2
"bubbles",2
"ca",2
"calla",2
"capacity",2
"caplets",2
"capture",2
"capturing",2
"cara",2
"cef",2
"changed",2
"characteristic",2
"characteristics",2
"characterizing",2
"choose",2
"clock",2
"closeda",2
"coefficient",2
"coherent",2
"coincide",2
"coincides",2
"combining",2
"commonly",2
"comonotone",2
"companies",2
"comparable",2
"compared",2
"competitive",2
"component",2
"computational",2
"computing",2
"conditional",2
"conduct",2
"connect",2
"connection",2
"consequence",2
"considerably",2
"considered",2
"considers",2
"consistency",2
"consists",2
"constructed",2
"continuously",2
"contracts",2
"contribution",2
"convexity",2
"copula",2
"correlation",2
"counterparty's",2
"cover's",2
"cox",2
"crash",2
"crc",2
"criteria",2
"curse",2
"date",2
"debreu",2
"decision",2
"defined",2
"delbaen",2
"depends",2
"depth",2
"derivatives",2
"deviations",2
"differentiability",2
"diffusions",2
"digitala",2
"direction",2
"distance",2
"dn",2
"e.g",2
"ek",2
"embeds",2
"emphasize",2
"encountered",2
"endowments",2
"enlarged",2
"equal",2
"ergodic",2
"es",2
"estimating",2
"events",2
"evidence",2
"evolution",2
"exhibits",2
"exotic",2
"expansion",2
"expectations",2
"explores",2
"fail",2
"fairly",2
"fast",2
"faster",2
"filter",2
"filtration",2
"finding",2
"findings",2
"firm's",2
"fitting",2
"forwarda",2
"fourier",2
"ftap",2
"games",2
"gaussian",2
"generalization",2
"generalizations",2
"generated",2
"generating",2
"gradient",2
"grows",2
"hazard",2
"heterogeneous",2
"historical",2
"hjm",2
"holding",2
"holdings",2
"hurst",2
"i.e",2
"i<U+0192>",2
"identified",2
"ii",2
"illustrated",2
"implicitly",2
"implies",2
"inaccessible",2
"incentives",2
"income",2
"inconsistent",2
"index",2
"indivisible",2
"inequalities",2
"ingersolla",2
"inhomogeneous",2
"instantaneous",2
"institution",2
"intel",2
"interplay",2
"interval",2
"introduces",2
"investor's",2
"involves",2
"larger",2
"law",2
"leland",2
"limited",2
"link",2
"liquidating",2
"maintaining",2
"manager",2
"matrix",2
"maturity",2
"measurable",2
"measuring",2
"mild",2
"mixing",2
"mos",2
"motivated",2
"motivates",2
"motive",2
"multifactor",2
"multiplier",2
"naive",2
"nature",2
"negative",2
"noncoherent",2
"nonconvex",2
"nondominated",2
"nonnegative",2
"nonnegligible",2
"nonstandard",2
"normal",2
"nutz",2
"operator",2
"optima",2
"optimized",2
"optimizer",2
"outperforms",2
"parity",2
"participants",2
"patterns",2
"permanent",2
"pgr",2
"plr",2
"policy",2
"political",2
"polynomial",2
"posedness",2
"positions",2
"potential",2
"potentially",2
"practice",2
"preference",2
"premia",2
"presence",2
"prior",2
"probabilistic",2
"produce",2
"proof",2
"proper",2
"properly",2
"provided",2
"purely",2
"quadratic",2
"quantities",2
"raise",2
"randomly",2
"rarely",2
"rational",2
"ratios",2
"rdu",2
"reasonable",2
"reasoning",2
"reduceda",2
"regime",2
"regulatory",2
"relate",2
"relying",2
"renders",2
"replicating",2
"repo",2
"report",2
"represents",2
"requiring",2
"resulting",2
"rich",2
"rigorously",2
"rise",2
"round",2
"rules",2
"rutkowski",2
"scale",2
"sclms",2
"sell",2
"serve",2
"sets",2
"settings",2
"shapes",2
"shareholder",2
"shareholders",2
"shocks",2
"simulations",2
"sizes",2
"slowly",2
"sn",2
"soa",2
"social",2
"solving",2
"sophisticated",2
"starting",2
"stationary",2
"stein",2
"stock's",2
"stoppinga",2
"strategic",2
"strictly",2
"strong",2
"structural",2
"structures",2
"subsequent",2
"substantial",2
"successive",2
"suffer",2
"suitable",2
"surprising",2
"switching",2
"tackles",2
"target",2
"technical",2
"technique",2
"testable",2
"thea",2
"toft",2
"tool",2
"tools",2
"totally",2
"transformation",2
"transport",2
"treat",2
"true",2
"tt",2
"unbounded",2
"uncertain",2
"unconstrained",2
"unilateral",2
"units",2
"univariate",2
"unknown",2
"unlike",2
"unspanned",2
"variant",2
"variants",2
"variations",2
"varying",2
"vasia",2
"versions",2
"viability",2
"viscosity",2
"vol",2
"wasserstein",2
"weighted",2
"white",2
"wronga",2
"zeroa",2
"zhou",2
"<U+0153>generalized",1
"<U+0153>hyperbolica",1
"<U+0153>just",1
"<U+0153>moderately",1
"<U+0153>simplea",1
"<U+0153>tangenta",1
"<U+0153>usuala",1
"a<U+02C6><U+017E>i",1
"absolute",1
"acceptance",1
"accessible",1
"accomplished",1
"accordance",1
"accurately",1
"actions",1
"acts",1
"adapt",1
"addition",1
"admissibility",1
"admit",1
"adopted",1
"advances",1
"advantage",1
"advantages",1
"affects",1
"affirmative",1
"aggregate",1
"aggregations",1
"agreement",1
"aid",1
"aim",1
"albeit",1
"algorithmic",1
"allocations",1
"allowing",1
"alpha",1
"alternative",1
"alvarez",1
"ambiguous",1
"analogues",1
"analytic",1
"analyzed",1
"analyzes",1
"anticipate",1
"anymore",1
"appeal",1
"appealing",1
"approximately",1
"approximative",1
"ar",1
"arbitragea",1
"architecture",1
"arduous",1
"argument",1
"arguments",1
"arising",1
"arithmetic",1
"armed",1
"arrival",1
"arrivals",1
"assess",1
"associates",1
"ata",1
"atom",1
"attains",1
"attempt",1
"attracted",1
"attrition",1
"auxiliary",1
"avoid",1
"avoids",1
"await",1
"axioms",1
"aza",1
"azema",1
"band",1
"banking",1
"base",1
"basic",1
"baskets",1
"bayraktar",1
"behaves",1
"beiglbock",1
"believed",1
"belonging",1
"benefit",1
"biagini",1
"bid",1
"bielecki",1
"bilateral",1
"bivariate",1
"blacka",1
"books",1
"bootstrap",1
"borrowing",1
"boundedness",1
"bounding",1
"branches",1
"breaks",1
"bridge",1
"bridges",1
"broadly",1
"bsdes",1
"buffer",1
"built",1
"business",1
"calculate",1
"calibrate",1
"calibrated",1
"calibrating",1
"calls",1
"caps",1
"careful",1
"carefully",1
"celebrated",1
"central",1
"certainty",1
"cev",1
"characterized",1
"chervonenkis",1
"chooses",1
"clarify",1
"clarity",1
"climate",1
"closes",1
"coined",1
"collateral",1
"collateralization",1
"collin",1
"combination",1
"combines",1
"compacts",1
"company",1
"comparative",1
"compatibility",1
"compensation",1
"compensator",1
"competing",1
"competition",1
"complementary",1
"complemented",1
"completely",1
"completeness",1
"completion",1
"complexity",1
"compounded",1
"compounding",1
"computable",1
"computation",1
"computations",1
"computes",1
"concatenations",1
"concave",1
"concentrate",1
"concentration",1
"concept",1
"conclusions",1
"conditionally",1
"conditioning",1
"conducted",1
"confirmed",1
"conic",1
"conjecture",1
"conjugate",1
"connecting",1
"connections",1
"conservation",1
"consolidated",1
"constants",1
"constraining",1
"constrains",1
"constructions",1
"contagious",1
"contribute",1
"controls",1
"conventional",1
"converge",1
"convergent",1
"convert",1
"converted",1
"correct",1
"correlated",1
"correlations",1
"correspondence",1
"costa",1
"countably",1
"covariance",1
"covers",1
"coxa",1
"creates",1
"crossing",1
"crucial",1
"cumulative",1
"cushion",1
"deal",1
"dealt",1
"decides",1
"decline",1
"declining",1
"decomposing",1
"decreases",1
"decreasing",1
"deduce",1
"deep",1
"define",1
"definition",1
"degree",1
"delbaen's",1
"deliberations",1
"demonstrated",1
"demonstrating",1
"densities",1
"depict",1
"depresses",1
"derives",1
"deriving",1
"describes",1
"describing",1
"deteriorate",1
"deterministic",1
"developed",1
"developments",1
"devised",1
"diagonal",1
"differentiated",1
"differs",1
"difficult",1
"difficulties",1
"difficulty",1
"diffuse",1
"diffusive",1
"dimensionality",1
"dimensions",1
"direct",1
"disappear",1
"discard",1
"disconnected",1
"discontinuities",1
"discontinuous",1
"discounted",1
"discounting",1
"discretea",1
"discretely",1
"discussed",1
"discussion",1
"displacement",1
"distant",1
"distinguishes",1
"distort",1
"distributed",1
"diversification",1
"domain",1
"dominance",1
"double",1
"drifta",1
"driftless",1
"drifts",1
"drives",1
"driving",1
"dufresne",1
"dybvig",1
"dybviga",1
"eant",1
"easily",1
"easy",1
"eber",1
"effective",1
"effectively",1
"efficacy",1
"efficiently",1
"effort",1
"egregious",1
"eigenfunctions",1
"eigenvalues",1
"elapsed",1
"elasticity",1
"elementary",1
"elements",1
"embed",1
"embedded",1
"empirically",1
"employed",1
"enabling",1
"encode",1
"endogenously",1
"energy",1
"engage",1
"ensure",1
"ensured",1
"ensures",1
"entire",1
"entropy",1
"epstein",1
"equally",1
"equivalences",1
"equivalently",1
"errors",1
"establishing",1
"etf",1
"euler",1
"europeana",1
"evaluate",1
"evaluated",1
"evaluations",1
"event",1
"eventually",1
"evolve",1
"examined",1
"examines",1
"excellent",1
"excess",1
"exclude",1
"execute",1
"executing",1
"exemplified",1
"exogenous",1
"exogenously",1
"experience",1
"experimental",1
"expiry",1
"explains",1
"explanation",1
"exploiting",1
"exploits",1
"exponentially",1
"expositional",1
"exposures",1
"extended",1
"extending",1
"extensive",1
"extraction",1
"extreme",1
"extremely",1
"extremes",1
"facing",1
"factorization",1
"fair",1
"fall",1
"falsely",1
"families",1
"faro",1
"fatou",1
"favorable",1
"feasibility",1
"fenchel",1
"fictitious",1
"fields",1
"filipovi<U+0107>",1
"filtrations",1
"finances",1
"finitea",1
"finitely",1
"fixing",1
"flash",1
"flattens",1
"floor",1
"flow",1
"flows",1
"fluctuate",1
"fluid",1
"focus",1
"follow",1
"formally",1
"forms",1
"formulae",1
"formulate",1
"foundation",1
"fragile",1
"frameworks",1
"freea",1
"frequently",1
"fresh",1
"frictions",1
"frittelli",1
"frontier",1
"functionals",1
"gabaix",1
"gained",1
"gambling",1
"garch",1
"garleanu",1
"generalize",1
"generalizes",1
"generator",1
"generically",1
"goard",1
"goldstein",1
"governed",1
"government",1
"grade",1
"greeks",1
"grow",1
"gu",1
"guaranteed",1
"guide",1
"handle",1
"hansen",1
"happen",1
"harnessing",1
"hawkes",1
"heatha",1
"heavier",1
"heavily",1
"hedger",1
"hedges",1
"helping",1
"henderson",1
"henry",1
"heterogeneity",1
"hidden",1
"highlight",1
"highly",1
"hinges",1
"hit",1
"hits",1
"hitting",1
"hjb",1
"hobson",1
"homogeneity",1
"horizons",1
"hull",1
"hulla",1
"humped",1
"hurdle",1
"hyperbolica",1
"hypothesis",1
"i.i.d",1
"ideal",1
"idiosyncratic",1
"ignore",1
"illiquidity",1
"illustrating",1
"immune",1
"impacts",1
"implicit",1
"imply",1
"importance",1
"importanta",1
"imposing",1
"improve",1
"improvement",1
"improves",1
"incentive",1
"include",1
"included",1
"incompatibility",1
"incompleteness",1
"incorporate",1
"incorporates",1
"incorporating",1
"incorrect",1
"increased",1
"increment",1
"increments",1
"incurring",1
"incurs",1
"indemnity",1
"indexed",1
"indicators",1
"indices",1
"individual's",1
"infinitesimal",1
"influence",1
"informational",1
"inherent",1
"inherently",1
"initially",1
"inspired",1
"instance",1
"institutions",1
"insured",1
"insured's",1
"integrated",1
"integration",1
"integro",1
"interacting",1
"intermediate",1
"internal",1
"international",1
"interpolates",1
"interselling",1
"intimately",1
"intractable",1
"intriguing",1
"invariant",1
"involve",1
"involving",1
"isaacs",1
"issuance",1
"issues",1
"iterating",1
"iterative",1
"ito",1
"jarrowa",1
"jermann",1
"johansen",1
"journal",1
"justification",1
"justifying",1
"kantorovich",1
"karatzas",1
"kardaras",1
"kennedy",1
"kima",1
"knowledge",1
"kramkov",1
"l1",1
"l2",1
"la",1
"labordere",1
"lambda",1
"lattice",1
"ldp",1
"leadinga",1
"learn",1
"learning",1
"ledoit",1
"left",1
"lending",1
"leptokurtic",1
"letting",1
"levels",1
"leveraged",1
"levy",1
"liability",1
"lies",1
"limiting",1
"limits",1
"limta",1
"line",1
"linearity",1
"lines",1
"linetsky",1
"linked",1
"links",1
"lipschitz",1
"liquidated",1
"liquidates",1
"loans",1
"lob",1
"locala",1
"localization",1
"localize",1
"locally",1
"location",1
"logarithmic",1
"longstaffa",1
"lose",1
"lot",1
"lowest",1
"ludkovski",1
"lyrebirds",1
"ma",1
"magnitude",1
"maintain",1
"major",1
"makes",1
"malliavin",1
"manage",1
"managerial",1
"managing",1
"map",1
"mapping",1
"margin",1
"markowitz",1
"matched",1
"matching",1
"max",1
"maximized",1
"mazur",1
"mckean",1
"meaningful",1
"measured",1
"medium",1
"mentioned",1
"message",1
"method's",1
"methodological",1
"middle",1
"mijatovia",1
"min",1
"minimax",1
"minimize",1
"minimizer",1
"misspecification",1
"misspecified",1
"mix",1
"modela",1
"moderate",1
"modern",1
"moneya",1
"moneyness",1
"monge",1
"monotonic",1
"moral",1
"morgenstern",1
"move",1
"multi",1
"multiasset",1
"multicurve",1
"multiunderlying",1
"myopic",1
"m£n",1
"na",1
"na<U+02C6>",1
"named",1
"nasdaq",1
"neatly",1
"necessarily",1
"nested",1
"net",1
"netapp",1
"networks",1
"neumanna",1
"neural",1
"neutrality",1
"nie",1
"nlabp",1
"nlabps",1
"noisy",1
"nonatomic",1
"nondecreasing",1
"nondevaluation",1
"nonunique",1
"notions",1
"nth",1
"numerous",1
"observable",1
"observation",1
"obtaining",1
"ofa",1
"offering",1
"omberg",1
"operations",1
"optimally",1
"optional",1
"oracle",1
"oscillations",1
"outa",1
"outcome",1
"outcomes",1
"outlook",1
"overly",1
"overnight",1
"paid",1
"papers",1
"parabolic",1
"pareto",1
"partially",1
"pass",1
"patha",1
"pathwise",1
"pay",1
"paying",1
"payment",1
"pde",1
"pdes",1
"peacocks",1
"peak",1
"pedersen",1
"penalized",1
"penalizes",1
"penkner",1
"pension",1
"perception",1
"perform",1
"performs",1
"periodic",1
"perpetual",1
"pioneered",1
"pistorius",1
"planning",1
"play",1
"pn",1
"pointwise",1
"polyhedral",1
"population",1
"posed",1
"possibilities",1
"postcrisis",1
"posterior",1
"posting",1
"practical",1
"precise",1
"preferred",1
"preserve",1
"preserves",1
"prevent",1
"primary",1
"primitives",1
"principles",1
"private",1
"probabilities",1
"problem's",1
"problematic",1
"proceed",1
"profit",1
"profits",1
"progress",1
"prohibition",1
"projecting",1
"projects",1
"prone",1
"proofs",1
"proportion",1
"prospect",1
"proved",1
"proves",1
"purchases",1
"purchasing",1
"pure",1
"purpose",1
"puta",1
"qin",1
"quantify",1
"quasi",1
"quoted",1
"randomization",1
"rebalance",1
"rebalanced",1
"recalibration",1
"receive",1
"recent",1
"recovers",1
"recursive",1
"reduce",1
"reduced",1
"reducing",1
"refer",1
"reflect",1
"reflected",1
"reflecting",1
"reflects",1
"refraction",1
"regarded",1
"regenerative",1
"regimes",1
"regions",1
"regression",1
"regulators",1
"reintroduces",1
"relation",1
"relations",1
"relaxation",1
"relaxations",1
"relies",1
"reluctant",1
"remain",1
"removing",1
"reoptimize",1
"repeatedly",1
"replaced",1
"replacing",1
"replicable",1
"replicate",1
"reported",1
"representative",1
"reproduce",1
"required",1
"rescaling",1
"research",1
"residuals",1
"resilience",1
"resolution",1
"resource",1
"respecting",1
"restore",1
"restricted",1
"restriction",1
"restrictions",1
"restrictive",1
"resurrection",1
"retaining",1
"retention",1
"retrospectively",1
"reused",1
"revenue",1
"reverting",1
"revisit",1
"rhythm",1
"ride",1
"rising",1
"rokhlin",1
"role",1
"root",1
"rooted",1
"roughly",1
"rounda",1
"rule",1
"sabr",1
"saddle",1
"sale",1
"sales",1
"sampled",1
"satisfied",1
"satisfying",1
"scalar",1
"scaling",1
"scenario",1
"schachermayer",1
"scheinkman",1
"schemes",1
"schwartz",1
"seasonal",1
"seconda",1
"secure",1
"secures",1
"selections",1
"semi",1
"semia",1
"semicomplete",1
"semiconductor",1
"semilinear",1
"semistatic",1
"sensitive",1
"sensitivities",1
"sensitivity",1
"separable",1
"separated",1
"separating",1
"separation",1
"sequences",1
"sequentially",1
"setbacks",1
"shape",1
"shifting",1
"signals",1
"significantly",1
"similar",1
"simpler",1
"simplified",1
"simplifies",1
"simplify",1
"simply",1
"simulated",1
"simulating",1
"skew",1
"slower",1
"smalla",1
"smoothing",1
"solely",1
"solvability",1
"solvency",1
"sornette",1
"sounder",1
"spanning",1
"speaking",1
"specifically",1
"spectral",1
"speculative",1
"speeds",1
"spx",1
"square",1
"stackelberg",1
"start",1
"statics",1
"statistical",1
"steady",1
"stems",1
"steps",1
"stop",1
"stopped",1
"straightforward",1
"strategy's",1
"streams",1
"strike",1
"strongly",1
"studying",1
"subject",1
"submartingales",1
"subordination",1
"substitution",1
"successfully",1
"sufficiently",1
"suggested",1
"suggests",1
"suited",1
"sum",1
"superb",1
"superhedging",1
"superior",1
"supermartingale",1
"superreplication",1
"supersolutions",1
"supn",1
"surfaces",1
"survival",1
"sustainable",1
"swap",1
"swaptions",1
"swing",1
"symmetric",1
"systematic",1
"tackle",1
"tails",1
"taking",1
"tame",1
"taxes",1
"technologies",1
"tempering",1
"tenor",1
"test",1
"thereof",1
"threea",1
"tight",1
"tildet",1
"time's",1
"title",1
"tolerance",1
"topology",1
"tracks",1
"trader",1
"trader's",1
"traders",1
"trades",1
"transfers",1
"transforms",1
"transient",1
"transition",1
"translate",1
"translation",1
"transportation",1
"treated",1
"treatment",1
"triggered",1
"triplets",1
"trivial",1
"turnbull",1
"twoa",1
"types",1
"typical",1
"unaffected",1
"uncover",1
"underinvest",1
"understanding",1
"undoubtedly",1
"unexpected",1
"unfolds",1
"unified",1
"uniform",1
"uniqueness",1
"universal",1
"universality",1
"unrealistic",1
"unstable",1
"upside",1
"validate",1
"valuea",1
"valued",1
"vanish",1
"vanishes",1
"vanishing",1
"vapnika",1
"variational",1
"vca",1
"vectors",1
"venue",1
"verified",1
"versa",1
"versatility",1
"viably",1
"vice",1
"view",1
"vlasov",1
"volterra",1
"voluntary",1
"von",1
"vy",1
"wa<U+02C6>",1
"weaker",1
"wedge",1
"weighs",1
"weightings",1
"wide",1
"widely",1
"wise",1
"wishart",1
"worse",1
"worst",1
"written",1
"wvar",1
"w£n",1
"xia",1
"xt",1
"yaari's",1
"yan",1
"zeroth",1
"zin",1
"£n",1
